════════════════════════════════════════════════════════════════════════════════
  ALIGNMENT LOG  2026-03-17T00:25:12.757Z
════════════════════════════════════════════════════════════════════════════════

── WhisperX words ─────────────────────────────────────────────────────────────
 idx   start      end        word
 ────────────────────────────────────────
 0     00:22.090  00:22.470  あ
 1     00:22.470  00:22.810  い
 2     00:22.810  00:23.491  は
 3     00:23.491  00:24.191  ど
 4     00:24.191  00:24.571  こ
 5     00:24.571  00:24.931  か
 6     00:24.931  00:25.271  ら
 7     00:25.271  00:25.592  や
 8     00:25.592  00:25.632  っ
 9     00:25.632  00:25.952  て
 10    00:25.952  00:26.152  く
 11    00:26.152  00:26.332  る
 12    00:26.332  00:26.532  の
 13    00:26.532  00:26.852  で
 14    00:26.852  00:26.912  し
 15    00:26.912  00:27.172  ょ
 16    00:27.172  00:27.552  う
 17    00:27.552  00:27.712  じ
 18    00:27.712  00:28.133  ぶ
 19    00:28.133  00:28.453  ん
 20    00:28.453  00:29.173  の
 21    00:29.173  00:29.853  む
 22    00:29.853  00:30.814  れ
 23    00:30.814  00:31.274  に
 24    00:31.274  00:31.634  と
 25    00:31.634  00:31.794  い
 26    00:31.794  00:32.154  か
 27    00:32.154  00:32.515  け
 28    00:32.515  00:33.375  た
 29    00:33.375  00:33.755  に
 30    00:33.755  00:34.095  せ
 31    00:34.095  00:34.816  も
 32    00:34.816  00:35.076  の
 33    00:35.076  00:35.416  な
 34    00:35.416  00:35.516  ん
 35    00:35.516  00:36.576  か
 36    00:36.576  00:36.916  と
 37    00:36.916  00:37.297  み
 38    00:37.297  00:37.617  は
 39    00:37.617  00:37.837  な
 40    00:37.837  00:38.177  い
 41    00:38.177  00:39.238  の
 42    00:39.238  00:39.538  ほ
 43    00:39.538  00:39.758  ん
 44    00:39.758  00:40.458  と
 45    00:40.458  00:41.178  だ
 46    00:41.178  00:41.879  け
 47    00:41.879  00:42.599  を
 48    00:42.599  00:42.759  み
 49    00:42.759  00:43.099  つ
 50    00:43.099  00:43.459  め
 51    00:43.459  00:43.820  た
 52    00:43.820  00:43.840  り
 53    00:56.974  00:57.394  か
 54    00:57.394  00:57.575  な
 55    00:57.575  00:57.815  し
 56    00:57.815  00:57.955  い
 57    00:57.955  00:58.035  ニ
 58    00:58.035  00:58.055  ュ
 59    00:58.055  00:58.616  ー
 60    00:58.616  00:58.976  ス
 61    00:58.976  00:59.857  と
 62    00:59.857  01:00.097  ど
 63    01:00.097  01:00.237  う
 64    01:00.237  01:00.437  で
 65    01:00.437  01:00.818  も
 66    01:00.818  01:00.958  い
 67    01:00.958  01:01.118  い
 68    01:01.118  01:01.458  は
 69    01:01.458  01:01.759  な
 70    01:01.759  01:02.039  し
 71    01:02.039  01:02.860  あ
 72    01:02.860  01:03.020  さ
 73    01:03.020  01:03.240  か
 74    01:03.240  01:03.560  ら
 75    01:03.560  01:03.720  も
 76    01:03.720  01:03.921  う
 77    01:03.921  01:04.281  そ
 78    01:04.281  01:04.441  ん
 79    01:04.441  01:04.641  な
 80    01:04.641  01:05.062  の
 81    01:05.062  01:05.162  ん
 82    01:05.162  01:05.682  ざ
 83    01:05.682  01:05.862  り
 84    01:05.862  01:08.325  で
 85    01:08.325  01:08.405  き
